,gene_name,condition,reported_tot_per_cell,reported_fg_per_cell,cog_class,cog_category,cog_letter,b_number,gene_product,growth_rate_hr,go_terms,dataset,dataset_name,strain
0,aaeA,MOPS complete,62.0,0.0035790429999999996,cellular processes and signaling,defense mechanisms,V,b3241,aromatic carboxylic acid efflux pump membrane fusion protein,1.934364224818452,GO:0022857; GO:0046942; GO:0055085; GO:0005886; GO:0016021; GO:0016020,li_2014,Li et al. 2014,MG1655
0,aaeA,MOPS minimal,5.0,0.0002886325,cellular processes and signaling,defense mechanisms,V,b3241,aromatic carboxylic acid efflux pump membrane fusion protein,0.738700370046123,GO:0022857; GO:0046942; GO:0055085; GO:0005886; GO:0016021; GO:0016020,li_2014,Li et al. 2014,MG1655
0,aaeB,MOPS complete,16.0,0.0019545769600000005,poorly characterized,function unknown,S,b3240,aromatic carboxylic acid efflux pump subunit AaeB,1.934364224818452,GO:0055085; GO:0022857; GO:0046942; GO:0005886; GO:0016021; GO:0016020,li_2014,Li et al. 2014,MG1655
0,aaeR,MOPS complete,203.0,0.011631201679999998,information storage and processing,transcription,K,b3243,LysR-type transcriptional regulator AaeR,1.934364224818452,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,li_2014,Li et al. 2014,MG1655
0,aaeR,MOPS complete without methionine,141.0,0.008078814959999998,information storage and processing,transcription,K,b3243,LysR-type transcriptional regulator AaeR,1.5693898427772346,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,li_2014,Li et al. 2014,MG1655
0,aaeR,MOPS minimal,79.0,0.004526428239999999,information storage and processing,transcription,K,b3243,LysR-type transcriptional regulator AaeR,0.738700370046123,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,li_2014,Li et al. 2014,MG1655
0,aas,MOPS complete,188.0,0.025184856000000002,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,b2836,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,1.934364224818452,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,li_2014,Li et al. 2014,MG1655
0,aas,MOPS complete without methionine,162.0,0.021701844,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,b2836,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,1.5693898427772346,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,li_2014,Li et al. 2014,MG1655
0,aas,MOPS minimal,80.0,0.010716960000000001,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,b2836,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,0.738700370046123,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,li_2014,Li et al. 2014,MG1655
0,aat,MOPS complete,151.0,0.006672067879999999,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,b0885,leucyl/phenylalanyl-tRNA&mdash;protein transferase,1.934364224818452,GO:0016755; GO:0016746; GO:0016740; GO:0030163; GO:0005829; GO:0008914; GO:0005737,li_2014,Li et al. 2014,MG1655
