gene_name,b_number,gene_product,mw_kda,go_terms,cog_class,cog_letter,cog_category,cog_desc
3'etsleuz,b4759,3'ETSleuZ,,GO:0003723; GO:1904572,Not Assigned,Not Assigned,Not Assigned,Not Assigned
c0067,,,,no ontology,,,,
c0293,,,,no ontology,,,,
c0299,,,,no ontology,,,,
c0362,,,,no ontology,,,,
c0465,,,,no ontology,,,,
c0614,,,,no ontology,,,,
c0664,,,,no ontology,,,,
c0719,,,,no ontology,,,,
g0-10697,,,,no ontology,,,,
g0-10698,,,,no ontology,,,,
g0-10700,,,,no ontology,,,,
g0-10702,,,,no ontology,,,,
g0-10703,,,,no ontology,,,,
g0-10704,,,,no ontology,,,,
g0-10705,,,,no ontology,,,,
g0-10706,,small RNA,,no ontology,,,,
g6084,b0017,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g6294,b0538,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g6336,b0609,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g6678,b1354,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g6690,b1367,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g6740,b1425,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g6748,b1437,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7034,b1903,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7121,b2084,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7353,b2596,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7388,b2653,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7561,b3004,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7562,b3007,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7818,b3975,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7878,b4247,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g7881,b4250,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
g8203,b0701,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
is128,,,,no ontology,,,,
aaad,b4634,DLP12 prophage; protein AaaD,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
aaae,b4693,phage terminase,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
aaea,b3241,aromatic carboxylic acid efflux pump membrane fusion protein,34.775,GO:0022857; GO:0046942; GO:0055085; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,V,defense mechanisms,p-hydroxybenzoic acid efflux system component
yhcq,b3241,aromatic carboxylic acid efflux pump membrane fusion protein,34.775,GO:0022857; GO:0046942; GO:0055085; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,V,defense mechanisms,p-hydroxybenzoic acid efflux system component
aaeb,b3240,aromatic carboxylic acid efflux pump subunit AaeB,73.591,GO:0055085; GO:0022857; GO:0046942; GO:0005886; GO:0016021; GO:0016020,poorly characterized,S,function unknown,p-hydroxybenzoic acid efflux system component
yhcp,b3240,aromatic carboxylic acid efflux pump subunit AaeB,73.591,GO:0055085; GO:0022857; GO:0046942; GO:0005886; GO:0016021; GO:0016020,poorly characterized,S,function unknown,p-hydroxybenzoic acid efflux system component
